ijzp-q8t2,chicago-crimes-all,id,date1,NULL
fypr-ksnz,chicago-environmental-complaints,complaint_id,complaint_date,NULL
hec5-y4x5,chicago-311-graffiti_removal,service_request_number,creation_date,NULL
9ksk-na4q,chicago_311_garbage_carts,service_request_number,creation_date,NULL
97t6-zrhs,chicago_311_rodent_baiting,service_request_number,creation_date,NULL
7as2-ds3y,chicago_311_potholes_reported,service_request_number,creation_date,NULL
me59-5fac,chicago_311_sanitation_code_complaints,service_request_number,creation_date,NULL
t28b-ys7j,chicago_311_alley_lights_out,service_request_number,creation_date,NULL
3aav-uy2v,chicago_311_street_lights_one_out,service_request_number,creation_date,NULL
zuxi-7xem,chicago_311_street_lights_all_out,service_request_number,creation_date,NULL
4ijn-s7e5,chicago_food_inspections,inspection_id,inspection_date,NULL
22u3-xenr,chicago_building_violations,id,violation_date,NULL
ydr8-5enu,chicago_building_permits,id,_issue_date,NULL
7nii-7srd,chicago_311_vacant_and_abandoned_building,service_request_number,date_service_request_was_received,NULL
